winner_name|loser_name
Emil Ruusuvuori|Ugo Humbert
Gregoire Barrere|Emilio Nava
Roberto Carballes Baena|David Goffin
Thiago Monteiro|Borna Gojo
Quentin Halys|Alexei Popyrin
Matteo Arnaldi|Benoit Paire
Jaume Munar|Thanasi Kokkinakis
Oscar Otte|Pavel Kotov
Richard Gasquet|Martin Landaluce
Hugo Gaston|Jeremy Chardy
Albert Ramos|Ilya Ivashka
Alexander Bublik|Daniel Elahi Galan
Dusan Lajovic|Jason Kubler
Pedro Cachin|Abedallah Shelbayh
Bernabe Zapata Miralles|Mackenzie Mcdonald
Marcos Giron|Nuno Borges
Dominic Thiem|Kyle Edmund
Cristian Garin|Marc Andrea Huesler
Zhizhen Zhang|Jurij Rodionov
Daniil Medvedev|Holger Rune
Daniil Medvedev|Stefanos Tsitsipas
Casper Ruud|Francisco Cerundolo
Daniil Medvedev|Yannick Hanfmann
Stefanos Tsitsipas|Borna Coric
Novak Djokovic|Cameron Norrie
Holger Rune|Alexei Popyrin
Casper Ruud|Laslo Djere
Daniil Medvedev|Alexander Zverev
Stefanos Tsitsipas|Lorenzo Musetti
Borna Coric|Fabian Marozsan
Novak Djokovic|Grigor Dimitrov
Cameron Norrie|Marton Fucsovics
Alexei Popyrin|Roman Safiullin
Holger Rune|Fabio Fognini
Casper Ruud|Alexander Bublik
Laslo Djere|Cristian Garin
Francisco Cerundolo|Gregoire Barrere
Jannik Sinner|Alexander Shevchenko
Andrey Rublev|Alejandro Davidovich Fokina
Alexander Zverev|J J Wolf
Daniil Medvedev|Bernabe Zapata Miralles
Stefanos Tsitsipas|Lorenzo Sonego
Borna Coric|Roberto Carballes Baena
Novak Djokovic|Tomas Martin Etcheverry
Grigor Dimitrov|Stan Wawrinka
Cameron Norrie|Alexandre Muller
Holger Rune|Arthur Fils
Casper Ruud|Arthur Rinderknech
Francisco Cerundolo|Yibing Wu
Jannik Sinner|Thanasi Kokkinakis
Andrey Rublev|Alex Molcan
Alejandro Davidovich Fokina|Guido Pella
Alexander Zverev|David Goffin
Bernabe Zapata Miralles|Jason Kubler
Daniil Medvedev|Emil Ruusuvuori
Stefanos Tsitsipas|Nuno Borges
Lorenzo Musetti|Matteo Arnaldi
Frances Tiafoe|Daniel Altmaier
Borna Coric|Thiago Monteiro
Carlos Alcaraz|Albert Ramos
Tomas Martin Etcheverry|Luca Van Assche
Alexandre Muller|Kyle Edmund
Alexei Popyrin|Christopher Oconnell
Arthur Rinderknech|Flavio Cobolli
Alexander Bublik|Pedro Martinez
Laslo Djere|Constant Lestienne
Sebastian Baez|Juan Pablo Varillas
Alex Molcan|Stefano Napolitano
J J Wolf|Hugo Grenier
David Goffin|Luca Nardi
Jason Kubler|Marc Andrea Huesler
Emil Ruusuvuori|Ugo Humbert
Lorenzo Sonego|Jeremy Chardy
Daniel Altmaier|Giulio Zeppieri
Roberto Carballes Baena|Hugo Dellien
Albert Ramos|Francesco Passaro
Alexander Zverev|Yibing Wu
Grigor Dimitrov|Christopher Oconnell
Taylor Fritz|Ilya Ivashka
Casper Ruud|J J Wolf
Alexander Zverev|Christopher Eubanks
Yibing Wu|Marco Cecchinato
Grigor Dimitrov|Roberto Carballes Baena
Taylor Fritz|Marcos Giron
J J Wolf|Hugo Dellien
Tallon Griekspoor|Stefano Travaglia
Christopher Eubanks|Benoit Paire
Yibing Wu|Marc Andrea Huesler
Bernabe Zapata Miralles|Vitaliy Sachko
Christopher Oconnell|Nino Serdarusic
Roberto Carballes Baena|Daniel Rincon
Adrian Mannarino|Filip Krajinovic
Ilya Ivashka|Guido Pella
Francisco Cerundolo|Jack Draper
Cameron Norrie|Sebastian Baez
Felix Auger Aliassime|Pablo Llamas Ruiz
Tommy Paul|Gregoire Barrere
Brandon Nakashima|Arthur Rinderknech
Francisco Cerundolo|Juan Pablo Varillas
Sebastian Baez|Pedro Cachin
Cameron Norrie|David Goffin
Gregoire Barrere|Corentin Moutet
Arthur Rinderknech|Lloyd Harris
Brandon Nakashima|Diego Schwartzman
Miomir Kecmanovic|Oriol Roca Batalla
Jack Draper|Alexandre Muller
Sebastian Baez|Marton Fucsovics
Pedro Cachin|Gael Monfils
David Goffin|Alvaro Lopez San Martin
Carlos Alcaraz|Flavio Cobolli
Denis Shapovalov|Brandon Nakashima
Lorenzo Musetti|Mikael Ymer
Alexander Shevchenko|Oscar Otte
Cameron Norrie|Benoit Paire
Jason Kubler|Facundo Diaz Acosta
Sebastian Korda|Mackenzie Mcdonald
Nuno Borges|John Isner
Roberto Carballes Baena|Eduardo Nava
Stefanos Tsitsipas|Jiri Vesely
Novak Djokovic|Aleksandar Kovacevic
Marton Fucsovics|Hugo Grenier
Alejandro Davidovich Fokina|Arthur Fils
Roberto Bautista Agut|Yibing Wu
Juan Pablo Varillas|Juncheng Shang
Tallon Griekspoor|Pedro Martinez
Hubert Hurkacz|David Goffin
Karen Khachanov|Constant Lestienne
Radu Albot|Patrick Kypson
Ugo Humbert|Adrian Mannarino
Corentin Moutet|Arthur Cazaux
Andrey Rublev|Laslo Djere
Holger Rune|Christopher Eubanks
Genaro Alberto Olivieri|Giovanni Mpetshi Perricard
Francisco Cerundolo|Jaume Munar
Yannick Hanfmann|Thiago Monteiro
Taylor Fritz|Michael Mmoh
Tommy Paul|Dominic Stricker
Nicolas Jarry|Hugo Dellien
Marcos Giron|Hamad Medjedovic
Casper Ruud|Elias Ymer
Jannik Sinner|Alexandre Muller
Daniel Altmaier|Marc Andrea Huesler
Emil Ruusuvuori|Gregoire Barrere
Grigor Dimitrov|Timofey Skatov
Alexander Zverev|Lloyd Harris
Alex Molcan|Hugo Gaston
Aslan Karatsev|Alexei Popyrin
Frances Tiafoe|Filip Krajinovic
Borna Coric|Federico Coria
Pedro Cachin|Dominic Thiem
Tomas Martin Etcheverry|Jack Draper
Alex De Minaur|Ilya Ivashka
Yoshihito Nishioka|J J Wolf
Max Purcell|Jordan Thompson
Carlos Alcaraz|Taro Daniel
Denis Shapovalov|Matteo Arnaldi
Lorenzo Musetti|Alexander Shevchenko
Cameron Norrie|Lucas Pouille
Stefanos Tsitsipas|Roberto Carballes Baena
Novak Djokovic|Marton Fucsovics
Alejandro Davidovich Fokina|Luca Van Assche
Hubert Hurkacz|Tallon Griekspoor
Karen Khachanov|Radu Albot
Andrey Rublev|Corentin Moutet
Holger Rune|Gael Monfils
Francisco Cerundolo|Yannick Hanfmann
Taylor Fritz|Arthur Rinderknech
Zhizhen Zhang|Thiago Agustin Tirante
Casper Ruud|Giulio Zeppieri
Grigor Dimitrov|Emil Ruusuvuori
Alexander Zverev|Alex Molcan
Frances Tiafoe|Aslan Karatsev
Borna Coric|Pedro Cachin
Yoshihito Nishioka|Max Purcell
Thiago Seyboth Wild|Guido Pella
Carlos Alcaraz|Denis Shapovalov
Sebastian Ofner|Fabio Fognini
Stefanos Tsitsipas|Diego Schwartzman
Novak Djokovic|Alejandro Davidovich Fokina
Karen Khachanov|Thanasi Kokkinakis
Holger Rune|Genaro Alberto Olivieri
Nicolas Jarry|Marcos Giron
Casper Ruud|Zhizhen Zhang
Grigor Dimitrov|Daniel Altmaier
Yoshihito Nishioka|Thiago Seyboth Wild
Carlos Alcaraz|Lorenzo Musetti
Stefanos Tsitsipas|Sebastian Ofner
Novak Djokovic|Juan Pablo Varillas
Karen Khachanov|Lorenzo Sonego
Holger Rune|Francisco Cerundolo
Casper Ruud|Nicolas Jarry
Alexander Zverev|Grigor Dimitrov
Carlos Alcaraz|Stefanos Tsitsipas
Novak Djokovic|Karen Khachanov
Casper Ruud|Holger Rune
Alexander Zverev|Tomas Martin Etcheverry
Casper Ruud|Alexander Zverev
Novak Djokovic|Casper Ruud
Tallon Griekspoor|Jordan Thompson
Jordan Thompson|Rinky Hijikata
Tallon Griekspoor|Emil Ruusuvuori
Tallon Griekspoor|Alexei Popyrin
Alex De Minaur|Laslo Djere
Jannik Sinner|Alexander Bublik
Adrian Mannarino|Arthur Fils
Jordan Thompson|Giovanni Mpetshi Perricard
Mackenzie Mcdonald|Ilya Ivashka
Rinky Hijikata|Gijs Brouwer
Tallon Griekspoor|Mikael Ymer
Laslo Djere|Ricardas Berankis
Ugo Humbert|Jason Kubler
Emil Ruusuvuori|Brandon Nakashima
Alexander Bublik|David Goffin
Frances Tiafoe|Jan Lennard Struff
Frances Tiafoe|Marton Fucsovics
Jan Lennard Struff|Richard Gasquet
Hubert Hurkacz|Christopher Oconnell
Frances Tiafoe|Lorenzo Musetti
Hubert Hurkacz|Yosuke Watanuki
Lorenzo Musetti|Gregoire Barrere
Frances Tiafoe|Jiri Lehecka
Taylor Fritz|Aslan Karatsev
Richard Gasquet|Christopher Eubanks
Jan Lennard Struff|Zhizhen Zhang
Tommy Paul|Benjamin Bonzi
Yosuke Watanuki|Feliciano Lopez
Lorenzo Musetti|Borna Gojo
Gregoire Barrere|Oscar Otte
Jiri Lehecka|Marcos Giron
Aslan Karatsev|Corentin Moutet
Andrey Rublev|Roberto Bautista Agut
Andrey Rublev|Tallon Griekspoor
Alexander Zverev|Nicolas Jarry
Daniil Medvedev|Laslo Djere
Roberto Bautista Agut|Brandon Nakashima
Andrey Rublev|Yannick Hanfmann
Jannik Sinner|Lorenzo Sonego
Alexander Zverev|Denis Shapovalov
Daniil Medvedev|Marcos Giron
Laslo Djere|Oscar Otte
Brandon Nakashima|Mikael Ymer
Roberto Bautista Agut|Andrea Vavassori
Andrey Rublev|Yibing Wu
Yannick Hanfmann|Louis Wessels
Tallon Griekspoor|Roberto Carballes Baena
Hubert Hurkacz|Christopher Eubanks
Jan Lennard Struff|Roman Safiullin
Lorenzo Sonego|Aslan Karatsev
Jannik Sinner|Richard Gasquet
Alexander Zverev|Dominic Thiem
Denis Shapovalov|Lloyd Harris
Nicolas Jarry|Corentin Moutet
Stefanos Tsitsipas|Gregoire Barrere
Carlos Alcaraz|Alex De Minaur
Carlos Alcaraz|Sebastian Korda
Carlos Alcaraz|Grigor Dimitrov
Alex De Minaur|Adrian Mannarino
Holger Rune|Lorenzo Musetti
Carlos Alcaraz|Jiri Lehecka
Cameron Norrie|Jordan Thompson
Alex De Minaur|Diego Schwartzman
Lorenzo Musetti|Ben Shelton
Holger Rune|Ryan Peniston
Carlos Alcaraz|Arthur Rinderknech
Grigor Dimitrov|Emil Ruusuvuori
Frances Tiafoe|Botic Van De Zandschulp
Jordan Thompson|Alexei Popyrin
Cameron Norrie|Miomir Kecmanovic
Alex De Minaur|Andy Murray
Adrian Mannarino|Liam Broady
Taylor Fritz|Bernabe Zapata Miralles
Lorenzo Musetti|Jan Choinski
Ben Shelton|J J Wolf
Holger Rune|Maxime Cressy
Adrian Mannarino|Yannick Hanfmann
Christopher Eubanks|Lloyd Harris
Yannick Hanfmann|Feliciano Lopez
Adrian Mannarino|Corentin Moutet
Christopher Eubanks|Arthur Rinderknech
Adrian Mannarino|Guido Pella
Yannick Hanfmann|Pedro Cachin
Roberto Carballes Baena|Ilya Ivashka
Constant Lestienne|Jason Kubler
Christopher Eubanks|Alex Michelsen
Roman Safiullin|Abedallah Shelbayh
Pavel Kotov|Li Tu
Francisco Cerundolo|Mackenzie Mcdonald
Tommy Paul|Gregoire Barrere
Francisco Cerundolo|Zhizhen Zhang
Tommy Paul|J J Wolf
Mikael Ymer|Liam Broady
Francisco Cerundolo|Marc Andrea Huesler
Zhizhen Zhang|Maxime Cressy
Miomir Kecmanovic|Aleksandar Vukic
J J Wolf|Luca Van Assche
Tommy Paul|Sebastian Baez
Mackenzie Mcdonald|Marco Cecchinato
Liam Broady|Jan Choinski
Marc Andrea Huesler|Ryan Peniston
Maxime Cressy|Daniel Elahi Galan
Miomir Kecmanovic|Yibing Wu
Luca Van Assche|George Loffhagen
Sebastian Baez|Nuno Borges
Carlos Alcaraz|Jeremy Chardy
Nicolas Jarry|Marco Cecchinato
Alexander Zverev|Gijs Brouwer
Matteo Berrettini|Lorenzo Sonego
Alex De Minaur|Kimmer Coppejans
Frances Tiafoe|Yibing Wu
Ilya Ivashka|Federico Coria
Grigor Dimitrov|Sho Shimabukuro
Alejandro Davidovich Fokina|Arthur Fils
Botic Van De Zandschulp|Zhizhen Zhang
Roberto Carballes Baena|Matteo Arnaldi
Holger Rune|George Loffhagen
Daniil Medvedev|Arthur Fery
Adrian Mannarino|Alexander Shevchenko
Marcos Giron|Hugo Dellien
Francisco Cerundolo|Nuno Borges
Jiri Lehecka|Sebastian Ofner
Tommy Paul|Shintaro Mochizuki
Cameron Norrie|Tomas Machac
Christopher Eubanks|Thiago Monteiro
Christopher Oconnell|Hamad Medjedovic
Ben Shelton|Taro Daniel
Andy Murray|Ryan Peniston
Stefanos Tsitsipas|Dominic Thiem
Jannik Sinner|Juan Manuel Cerundolo
Mikael Ymer|Alex Molcan
Taylor Fritz|Yannick Hanfmann
Denis Shapovalov|Radu Albot
Gregoire Barrere|Lloyd Harris
Casper Ruud|Laurent Lokoli
Andrey Rublev|Max Purcell
Aslan Karatsev|Luca Van Assche
Alexander Bublik|Mackenzie Mcdonald
J J Wolf|Enzo Couacaud
Lorenzo Musetti|Juan Pablo Varillas
Hubert Hurkacz|Albert Ramos
Tomas Martin Etcheverry|Bernabe Zapata Miralles
Novak Djokovic|Pedro Cachin
Carlos Alcaraz|Alexandre Muller
Nicolas Jarry|Jason Kubler
Alexander Zverev|Yosuke Watanuki
Frances Tiafoe|Dominic Stricker
Grigor Dimitrov|Ilya Ivashka
Alejandro Davidovich Fokina|Botic Van De Zandschulp
Holger Rune|Roberto Carballes Baena
Daniil Medvedev|Adrian Mannarino
Tommy Paul|Milos Raonic
Christopher Oconnell|Jiri Vesely
Stefanos Tsitsipas|Andy Murray
Jannik Sinner|Diego Schwartzman
Quentin Halys|Aleksandar Vukic
Daniel Elahi Galan|Oscar Otte
Denis Shapovalov|Gregoire Barrere
Andrey Rublev|Aslan Karatsev
David Goffin|Tomas Barrios Vera
Alexander Bublik|J J Wolf
Lorenzo Musetti|Jaume Munar
Hubert Hurkacz|Jan Choinski
Novak Djokovic|Jordan Thompson
Carlos Alcaraz|Nicolas Jarry
Holger Rune|Alejandro Davidovich Fokina
Daniil Medvedev|Marton Fucsovics
Christopher Eubanks|Christopher Oconnell
Stefanos Tsitsipas|Laslo Djere
Jannik Sinner|Quentin Halys
Roman Safiullin|Guido Pella
Denis Shapovalov|Liam Broady
Andrey Rublev|David Goffin
Alexander Bublik|Maximilian Marterer
Novak Djokovic|Stan Wawrinka
Carlos Alcaraz|Matteo Berrettini
Holger Rune|Grigor Dimitrov
Daniil Medvedev|Jiri Lehecka
Jannik Sinner|Daniel Elahi Galan
Andrey Rublev|Alexander Bublik
Novak Djokovic|Hubert Hurkacz
Carlos Alcaraz|Holger Rune
Daniil Medvedev|Christopher Eubanks
Jannik Sinner|Roman Safiullin
Novak Djokovic|Andrey Rublev
Carlos Alcaraz|Daniil Medvedev
Novak Djokovic|Jannik Sinner
Carlos Alcaraz|Novak Djokovic
Pedro Cachin|Hamad Medjedovic
Pedro Cachin|Jaume Munar
Miomir Kecmanovic|Zizou Bergs
Yannick Hanfmann|Daniel Altmaier
Juan Pablo Varillas|Facundo Bagnis
Miomir Kecmanovic|Dominic Stricker
Pedro Cachin|Taro Daniel
Jaume Munar|Alexander Ritschard
Daniel Altmaier|Benjamin Bonzi
Juan Pablo Varillas|Otto Virtanen
Albert Ramos|Fabio Fognini
Casper Ruud|Lorenzo Musetti
Andrey Rublev|Francisco Cerundolo
Casper Ruud|Sebastian Ofner
Lorenzo Musetti|Filip Misolic
Francisco Cerundolo|Federico Coria
Andrey Rublev|Alexander Zverev
Casper Ruud|Alexander Shevchenko
Lorenzo Musetti|Matteo Arnaldi
Filip Misolic|Jozef Kovalik
Federico Coria|Leo Borg
Francisco Cerundolo|Luca Van Assche
Alexander Zverev|Thiago Monteiro
Andrey Rublev|Pavel Kotov
Alexander Shevchenko|Juan Manuel Cerundolo
Bernabe Zapata Miralles|Hugo Dellien
Luca Van Assche|Dragos Nicolae Madaras
Alexander Zverev|Alex Molcan
Pavel Kotov|Marco Cecchinato
Adrian Mannarino|Alex Michelsen
Adrian Mannarino|Ugo Humbert
Adrian Mannarino|Jordan Thompson
Tommy Paul|Ethan Quinn
Mackenzie Mcdonald|Li Tu
Ugo Humbert|Steve Johnson
Jordan Thompson|Liam Broady
Adrian Mannarino|Rinky Hijikata
John Isner|Alex Bolt
Steve Johnson|Yunseong Chung
Jordan Thompson|Aleksandar Kovacevic
Liam Broady|Shintaro Mochizuki
Rinky Hijikata|Abedallah Shelbayh
Taylor Fritz|Aleksandar Vukic
Taylor Fritz|J J Wolf
Taylor Fritz|Kei Nishikori
J J Wolf|Dominik Koepfer
Taylor Fritz|Yibing Wu
J J Wolf|Maxime Cressy
Christopher Eubanks|Brandon Nakashima
Ugo Humbert|Lloyd Harris
Alex De Minaur|Thanasi Kokkinakis
Dominik Koepfer|John Isner
Maxime Cressy|Alex Michelsen
J J Wolf|Jason Jung
Christopher Eubanks|Andres Martin
Brandon Nakashima|Max Purcell
Aleksandar Vukic|Ethan Quinn
Ugo Humbert|Constant Lestienne
Thanasi Kokkinakis|Gael Monfils
Alexander Zverev|Laslo Djere
Alexander Zverev|Arthur Fils
Laslo Djere|Zhizhen Zhang
Alexander Zverev|Luca Van Assche
Casper Ruud|Cristian Garin
Alexander Zverev|Maximilian Marterer
Laslo Djere|Guido Pella
Lorenzo Musetti|Jozef Kovalik
Casper Ruud|Sebastian Baez
Cristian Garin|Hugo Dellien
Alexander Zverev|Alex Molcan
Maximilian Marterer|Rudolf Molleker
Luca Van Assche|Alexandre Muller
Alejandro Davidovich Fokina|Pedro Cachin
Lorenzo Musetti|Elias Ymer
Zhizhen Zhang|Jan Choinski
Andrey Rublev|Bernabe Zapata Miralles
Alexei Popyrin|Dino Prizmic
Lorenzo Sonego|Jaume Munar
Jiri Lehecka|Dominic Thiem
Matteo Arnaldi|Flavio Cobolli
Stan Wawrinka|Federico Coria
Roberto Carballes Baena|Taro Daniel
Lorenzo Sonego|Marco Cecchinato
Dominic Thiem|Facundo Bagnis
Matteo Arnaldi|Jesper De Jong
Alexei Popyrin|Benjamin Bonzi
Dino Prizmic|Duje Ajdukovic
Stan Wawrinka|Filip Misolic
Taro Daniel|Martin Landaluce
Fabian Marozsan|Juan Manuel Cerundolo
Sebastian Baez|Dominic Thiem
Tomas Martin Etcheverry|Daniel Elahi Galan
Sebastian Baez|Alex Molcan
Laslo Djere|Pedro Cachin
Tomas Martin Etcheverry|Guido Andreozzi
Laslo Djere|Thiago Seyboth Wild
Pedro Cachin|Albert Ramos
Daniel Elahi Galan|Marco Cecchinato
Daniel Altmaier|Marc Andrea Huesler
Sebastian Baez|Hamad Medjedovic
Roberto Carballes Baena|Guido Pella
Laslo Djere|Christopher Oconnell
Thiago Seyboth Wild|Dennis Novak
Zhizhen Zhang|Dusan Lajovic
Dominic Thiem|Facundo Bagnis
Arthur Rinderknech|Juan Manuel Cerundolo
Stefanos Tsitsipas|Alex De Minaur
Stefanos Tsitsipas|Borna Coric
Alex De Minaur|Dominik Koepfer
Stefanos Tsitsipas|Nicolas Jarry
Borna Coric|Ilya Ivashka
Dominik Koepfer|Aleksandar Kovacevic
Stefanos Tsitsipas|John Isner
Nicolas Jarry|Gijs Brouwer
Borna Coric|Jason Jung
Ilya Ivashka|Borna Gojo
Alex De Minaur|Thiago Agustin Tirante
Tommy Paul|Felipe Meligeni Alves
Dominik Koepfer|James Duckworth
Nicolas Jarry|Rodrigo Pacheco Mendez
Jason Jung|Ernesto Escobedo
Ilya Ivashka|Beibit Zhukayev
Alex De Minaur|Skander Mansouri
Thiago Agustin Tirante|Gonzalo Lama
Dominik Koepfer|Tomas Barrios Vera
James Duckworth|Otto Virtanen
Aleksandar Kovacevic|Omni Kumar
Daniel Evans|Tallon Griekspoor
Taylor Fritz|Jordan Thompson
Tallon Griekspoor|J J Wolf
Grigor Dimitrov|Ugo Humbert
Taylor Fritz|Andy Murray
J J Wolf|Michael Mmoh
Tallon Griekspoor|Gael Monfils
Grigor Dimitrov|Emil Ruusuvuori
Ugo Humbert|Yosuke Watanuki
Daniel Evans|Alexander Shevchenko
Frances Tiafoe|Juncheng Shang
Taylor Fritz|Zachary Svajda
Andy Murray|Brandon Nakashima
Christopher Eubanks|Sho Shimabukuro
J J Wolf|Radu Albot
Tallon Griekspoor|Liam Broady
Grigor Dimitrov|Mackenzie Mcdonald
Ugo Humbert|Thanasi Kokkinakis
Daniel Evans|Gregoire Barrere
Frances Tiafoe|Aslan Karatsev
Sho Shimabukuro|Lloyd Harris
Jordan Thompson|Kevin Anderson
Michael Mmoh|Bradley Klahn
Gael Monfils|Bjorn Fratangelo
Mackenzie Mcdonald|Diego Schwartzman
Emil Ruusuvuori|Constant Lestienne
Thanasi Kokkinakis|Taro Daniel
Alexander Shevchenko|Maxime Cressy
Gregoire Barrere|Shintaro Mochizuki
Juncheng Shang|Emilio Gomez
Aslan Karatsev|Kiranpal Pannu
Jannik Sinner|Alex De Minaur
Jannik Sinner|Tommy Paul
Alex De Minaur|Alejandro Davidovich Fokina
Jannik Sinner|Gael Monfils
Alejandro Davidovich Fokina|Mackenzie Mcdonald
Carlos Alcaraz|Hubert Hurkacz
Tommy Paul|Marcos Giron
Jannik Sinner|Andy Murray
Mackenzie Mcdonald|Milos Raonic
Daniil Medvedev|Lorenzo Musetti
Carlos Alcaraz|Ben Shelton
Hubert Hurkacz|Miomir Kecmanovic
Tommy Paul|Francisco Cerundolo
Andy Murray|Max Purcell
Jannik Sinner|Matteo Berrettini
Casper Ruud|Jiri Lehecka
Taylor Fritz|Ugo Humbert
Alex De Minaur|Gabriel Diallo
Lorenzo Musetti|Thanasi Kokkinakis
Daniil Medvedev|Matteo Arnaldi
Ben Shelton|Bernabe Zapata Miralles
Miomir Kecmanovic|Cristian Garin
Hubert Hurkacz|Alexander Bublik
Tommy Paul|Diego Schwartzman
Francisco Cerundolo|Alexis Galarneau
Matteo Berrettini|Gregoire Barrere
Mackenzie Mcdonald|Aslan Karatsev
Alexander Zverev|Tallon Griekspoor
Alejandro Davidovich Fokina|J J Wolf
Jiri Lehecka|Brandon Nakashima
Lorenzo Musetti|Yoshihito Nishioka
Matteo Arnaldi|Vasek Pospisil
Carlos Alcaraz|Hubert Hurkacz
Novak Djokovic|Alexander Zverev
Carlos Alcaraz|Max Purcell
Hubert Hurkacz|Alexei Popyrin
Alexander Zverev|Adrian Mannarino
Novak Djokovic|Taylor Fritz
Carlos Alcaraz|Tommy Paul
Alexei Popyrin|Emil Ruusuvuori
Adrian Mannarino|Mackenzie Mcdonald
Taylor Fritz|Dusan Lajovic
Novak Djokovic|Gael Monfils
Carlos Alcaraz|Jordan Thompson
Tommy Paul|Ugo Humbert
Stefanos Tsitsipas|Ben Shelton
Alexander Zverev|Yoshihito Nishioka
Daniil Medvedev|Lorenzo Musetti
Taylor Fritz|Lorenzo Sonego
Novak Djokovic|Alejandro Davidovich Fokina
Jordan Thompson|John Isner
Ugo Humbert|Arthur Fils
Tommy Paul|Miomir Kecmanovic
Frances Tiafoe|Tallon Griekspoor
Stan Wawrinka|Brandon Nakashima
Max Purcell|Lloyd Harris
Hubert Hurkacz|Thanasi Kokkinakis
Borna Coric|Sebastian Korda
Nicolas Jarry|Roman Safiullin
Emil Ruusuvuori|Corentin Moutet
Mackenzie Mcdonald|Yannick Hanfmann
Adrian Mannarino|Richard Gasquet
Felix Auger Aliassime|Matteo Berrettini
Alexander Zverev|Grigor Dimitrov
Yoshihito Nishioka|Gregoire Barrere
Lorenzo Musetti|Daniel Evans
Lorenzo Sonego|Alexander Shevchenko
Taylor Fritz|Jiri Lehecka
Alex De Minaur|J J Wolf
Alejandro Davidovich Fokina|Tomas Martin Etcheverry
Borna Coric|Juan Manuel Cerundolo
Sebastian Korda|Richard Gasquet
Jiri Lehecka|Max Purcell
Borna Coric|Michael Mmoh
Juan Manuel Cerundolo|Omni Kumar
Laslo Djere|Alex Michelsen
Sebastian Baez|Aleksandar Vukic
Richard Gasquet|Brandon Nakashima
Sebastian Korda|Marton Fucsovics
Jiri Lehecka|Dominik Koepfer
Borna Coric|Rinky Hijikata
Laslo Djere|Facundo Diaz Acosta
Aleksandar Vukic|Luca Van Assche
Sebastian Baez|Daniel Elahi Galan
Richard Gasquet|Marc Andrea Huesler
Marton Fucsovics|Zhizhen Zhang
Sebastian Korda|Benjamin Bonzi
Jiri Lehecka|Mitchell Krueger
Dominik Koepfer|Strong Kirchheimer
Tallon Griekspoor|Jack Draper
Rinky Hijikata|Illya Marchenko
Michael Mmoh|Darian King
Luca Van Assche|Thai Son Kwiatkowski
Daniel Elahi Galan|Radu Albot
Brandon Nakashima|Jason Kubler
Zhizhen Zhang|Ilya Ivashka
Dominik Koepfer|Constant Lestienne
Max Purcell|Marco Cecchinato
Emil Ruusuvuori|Pedro Cachin
Francisco Cerundolo|Otto Virtanen
Emil Ruusuvuori|Facundo Bagnis
David Goffin|Seong Chan Hong
Borna Coric|Dennis Novak
Borna Coric|Dominic Thiem
Jiri Lehecka|Nuno Borges
Jiri Lehecka|Joao Sousa
Adrian Mannarino|Marton Fucsovics
Ugo Humbert|Fabian Marozsan
Cameron Norrie|Nicolas Barrientos
Cameron Norrie|Nicolas Mejia
Marc Andrea Huesler|Oscar Otte
Alexander Zverev|Stan Wawrinka
Tallon Griekspoor|Lukas Klein
Miomir Kecmanovic|Andreja Petrovic
Laslo Djere|Viktor Durasovic
Hamad Medjedovic|Viktor Durasovic
Mikael Ymer|Mirza Basic
Elias Ymer|Damir Dzumhur
Mikael Ymer|Damir Dzumhur
Mackenzie Mcdonald|Sergey Fomin
Tommy Paul|Khumoun Sultanov
Matheus Pucinelli De Almeida|Rigele Te
Thiago Monteiro|Jie Cui
Gustavo Heide|Rigele Te
Holger Rune|Yuki Bhambri
Holger Rune|Sumit Nagal
Prajnesh Gunneswaran|Elmer Moller
Ernests Gulbis|Daniel Cukierman
Yshai Oliel|Robert Strombachs
Daniel Cukierman|Karlis Ozolins
Gonzalo Bueno|Simon Carr
Arklon Huertas Del Pino|Osgar Ohoisin
Conner Huertas Del Pino|Michael Agwi
Filip Cristian Jianu|Kasidit Samrej
Nicholas David Ionel|Kasidit Samrej
Filip Cristian Jianu|Yuttana Charoenphon
Altug Celikbilek|Sebastian Dominko
Cem Ilkel|Bor Artnak
Vladyslav Orlov|Hady Habib
Benjamin Hassan|Oleksandr Ovcharenko
Aleksandre Bakshi|Juan Carlos Prado Angelo
Saba Purtseladze|Juan Carlos Prado Angelo
Amr Elsayed Abdou Ahmed Mohamed|Hernando Jose Escurra Isnardi
Blaise Bicknell|Kenneth Raisma
Fitriadi M Rifqi|Minhtuan Pham
Nam Hoang Ly|Anthony Susanto
Nam Hoang Ly|Fitriadi M Rifqi
Alex Knaff|Alec Beckley
Moez Echargui|Menelaos Efstathiou
Moez Echargui|Petros Chrysochos
