winner_name|loser_name
Federico Coria|Thiago Monteiro
Federico Delbonis|Alejandro Tabilo
John Isner|J J Wolf
Taylor Fritz|Marcos Giron
John Isner|Emilio Gomez
Taylor Fritz|Jack Sock
Marcos Giron|Oscar Otte
Adrian Mannarino|Jordan Thompson
John Isner|Daniel Altmaier
J J Wolf|Radu Albot
Frances Tiafoe|Mackenzie Mcdonald
Oscar Otte|Christopher Eubanks
Marcos Giron|Alex Rybakov
Jordan Thompson|Denis Kudla
Adrian Mannarino|Steve Johnson
John Isner|Chun Hsin Tseng
Daniel Altmaier|Zachary Svajda
Emilio Gomez|Gabriel Diallo
J J Wolf|Brandon Holt
Mackenzie Mcdonald|Fernando Verdasco
Jannik Sinner|Maxime Cressy
Jannik Sinner|Arthur Fils
Holger Rune|Gregoire Barrere
Jannik Sinner|Lorenzo Sonego
Holger Rune|Marc Andrea Huesler
Gregoire Barrere|Nikoloz Basilashvili
Borna Coric|Arthur Rinderknech
Maxime Cressy|Emil Ruusuvuori
Lorenzo Sonego|Filip Krajinovic
Jannik Sinner|Marton Fucsovics
Marc Andrea Huesler|Luca Van Assche
Arthur Rinderknech|Luca Nardi
Maxime Cressy|Antoine Bellier
Emil Ruusuvuori|Mikael Ymer
Alejandro Davidovich Fokina|Ugo Humbert
Quentin Halys|Clement Chidekh
Filip Krajinovic|Aslan Karatsev
Marton Fucsovics|Geoffrey Blancaneaux
Taylor Fritz|Miomir Kecmanovic
Taylor Fritz|Mackenzie Mcdonald
Miomir Kecmanovic|Radu Albot
Taylor Fritz|Adrian Mannarino
Mackenzie Mcdonald|Michael Mmoh
Miomir Kecmanovic|Marcos Giron
Taylor Fritz|Emilio Gomez
Marcos Giron|Matija Pecotic
Miomir Kecmanovic|Nuno Borges
Radu Albot|Aleksandar Vukic
Tommy Paul|Denis Kudla
Emilio Gomez|Tung Lin Wu
Adrian Mannarino|Daniel Altmaier
J J Wolf|Ilya Ivashka
Michael Mmoh|Aleksandar Kovacevic
Mackenzie Mcdonald|Taro Daniel
Yoshihito Nishioka|Oscar Otte
Nuno Borges|Steve Johnson
Radu Albot|Fernando Verdasco
Carlos Alcaraz|Cameron Norrie
Carlos Alcaraz|Bernabe Zapata Miralles
Cameron Norrie|Juan Pablo Varillas
Carlos Alcaraz|Dusan Lajovic
Cameron Norrie|Tomas Martin Etcheverry
Carlos Alcaraz|Laslo Djere
Dusan Lajovic|Camilo Ugo Carabelli
Francisco Cerundolo|Jaume Munar
Lorenzo Musetti|Pedro Cachin
Cameron Norrie|Facundo Diaz Acosta
Laslo Djere|Fabio Fognini
Jaume Munar|Guido Pella
Francisco Cerundolo|Yannick Hanfmann
Juan Pablo Varillas|Joao Sousa
Pedro Cachin|Thiago Monteiro
Tomas Martin Etcheverry|Hugo Dellien
Daniil Medvedev|Jannik Sinner
Jannik Sinner|Tallon Griekspoor
Daniil Medvedev|Grigor Dimitrov
Jannik Sinner|Stan Wawrinka
Tallon Griekspoor|Gijs Brouwer
Daniil Medvedev|Botic Van De Zandschulp
Felix Auger Aliassime|Gregoire Barrere
Alex De Minaur|Maxime Cressy
Stefanos Tsitsipas|Emil Ruusuvuori
Jannik Sinner|Benjamin Bonzi
Holger Rune|Constant Lestienne
Tallon Griekspoor|Mikael Ymer
Alexander Zverev|Soon Woo Kwon
Daniil Medvedev|Alejandro Davidovich Fokina
Botic Van De Zandschulp|Quentin Halys
Felix Auger Aliassime|Lorenzo Sonego
Hubert Hurkacz|Roberto Bautista Agut
